CreditGrade,Term,LoanStatus,BorrowerAPR,BorrowerRate,LenderYield,EstimatedEffectiveYield,EstimatedLoss,EstimatedReturn,ProsperRating (numeric),ProsperRating (Alpha),ProsperScore,ListingCategory (numeric),BorrowerState,Occupation,EmploymentStatus,EmploymentStatusDuration,IsBorrowerHomeowner,CurrentlyInGroup,GroupKey,CreditScoreRangeLower,CreditScoreRangeUpper,FirstRecordedCreditLine,CurrentCreditLines,OpenCreditLines,TotalCreditLinespast7years,OpenRevolvingAccounts,OpenRevolvingMonthlyPayment,InquiriesLast6Months,TotalInquiries,CurrentDelinquencies,AmountDelinquent,DelinquenciesLast7Years,PublicRecordsLast10Years,PublicRecordsLast12Months,RevolvingCreditBalance,BankcardUtilization,AvailableBankcardCredit,TotalTrades,TradesNeverDelinquent (percentage),TradesOpenedLast6Months,DebtToIncomeRatio,IncomeRange,IncomeVerifiable,StatedMonthlyIncome,TotalProsperLoans,TotalProsperPaymentsBilled,OnTimeProsperPayments,ProsperPaymentsLessThanOneMonthLate,ProsperPaymentsOneMonthPlusLate,ProsperPrincipalBorrowed,ProsperPrincipalOutstanding,LoanOriginalAmount,MonthlyLoanPayment,PercentFunded,Recommendations,InvestmentFromFriendsCount,InvestmentFromFriendsAmount,Investors
Unknown,36,1,0.09643,0.093,0.083,0.068,0.015,0.068,7.0,AA,8.0,1,PA,Other,Full-time,115.0,True,False,Unknown,800.0,819.0,1998-10-31 00:00:00,8.0,7.0,26.0,5,150.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,210.0,0.03,6490.0,24.0,0.95,0.0,0.31,"$25,000-49,999",True,3333.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7500,239.55,1.0,0,0,0.0,238
A,36,1,0.12503,0.111,0.101,0.09185,,,4.0,Unknown,6.0,2,FL,Construction,Full-time,112.0,True,False,Unknown,740.0,759.0,1996-02-27 00:00:00,13.0,12.0,51.0,2,907.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,21159.0,0.0,0.0,48.0,0.97,0.0,0.16,"$100,000+",True,13333.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9000,295.07,1.0,0,0,0.0,348
Unknown,36,0,0.35643,0.3199,0.3099,0.2957,0.147,0.1487,2.0,E,4.0,1,NY,Retail Management,Employed,106.0,False,False,Unknown,660.0,679.0,2006-11-24 00:00:00,4.0,4.0,8.0,5,120.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,5017.0,0.65,2683.0,5.0,1.0,0.0,0.14,"$25,000-49,999",True,2875.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6500,283.07,1.0,0,0,0.0,106
HR,36,1,0.32285,0.3,0.29,0.28085,,,4.0,Unknown,6.0,4,CA,Truck Driver,Part-time,26.0,False,False,Unknown,520.0,539.0,2004-01-29 00:00:00,18.0,17.0,22.0,18,262.0,17.0,54.0,0.0,0.0,0.0,0.0,0.0,10406.0,0.83,1802.0,20.0,1.0,1.0,0.15,"$25,000-49,999",True,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600,52.39,1.0,0,0,0.0,28
C,36,0,0.1501,0.143,0.123,0.12384999999999999,,,4.0,Unknown,6.0,0,NC,Professional,Full-time,105.0,False,True,783C3371218786870A73D20,640.0,659.0,1993-04-29 00:00:00,5.0,4.0,14.0,3,0.0,6.0,13.0,3.0,702.0,2.0,0.0,0.0,0.0,0.0,0.0,12.0,0.64,3.0,0.12,"$25,000-49,999",True,3750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000,102.97,1.0,0,0,0.0,61
Unknown,36,1,0.13271,0.1115,0.1015,0.0662,0.035,0.0662,6.0,A,9.0,7,PA,Professional,Employed,79.0,True,False,Unknown,780.0,799.0,1996-07-29 00:00:00,6.0,6.0,16.0,4,267.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,13215.0,0.41,18285.0,14.0,1.0,0.0,0.15,"$50,000-74,999",True,4208.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000,164.05,1.0,0,0,0.0,244
Unknown,36,0,0.13109,0.1099,0.0999,0.0983,0.0495,0.0488,5.0,B,8.0,1,VA,Military Officer,Employed,18.0,False,False,Unknown,740.0,759.0,2005-03-10 00:00:00,4.0,4.0,27.0,3,45.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1261.0,0.28,3239.0,10.0,1.0,1.0,0.0487109375,"$50,000-74,999",False,5375.0,1.0,8.0,8.0,0.0,0.0,1000.0,0.0,8000,261.87,1.0,0,1,208.05,113
Unknown,36,0,0.30532,0.2699,0.2599,0.2534,0.112,0.1414,3.0,D,5.0,3,OH,Other,Employed,11.0,False,False,Unknown,720.0,739.0,1992-12-01 00:00:00,5.0,5.0,16.0,3,123.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5521.0,0.84,387.0,14.0,0.92,0.0,0.48,"$1-24,999",True,1333.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000,408.2,1.0,0,0,0.0,18
B,36,0,0.16466,0.1575,0.1475,0.13835,,,4.0,Unknown,6.0,0,MA,Clergy,Full-time,36.0,True,False,Unknown,680.0,699.0,1992-04-29 00:00:00,2.0,2.0,7.0,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.2,"$25,000-49,999",True,3208.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11350,397.63,1.0,0,0,0.0,126
Unknown,60,1,0.31375,0.287,0.277,0.2701,0.119,0.1511,3.0,D,5.0,1,IN,Food Service,Employed,12.0,False,False,Unknown,720.0,739.0,2003-10-03 00:00:00,7.0,7.0,22.0,6,165.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,3736.0,0.43,4678.0,10.0,0.7,2.0,0.85,"$1-24,999",True,833.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000,315.59,1.0,0,0,0.0,67
A,36,0,0.19462000000000002,0.18,0.17,0.16085,,,4.0,Unknown,6.0,1,MD,Administrative Assistant,Full-time,101.0,False,False,Unknown,720.0,739.0,1988-08-30 00:00:00,7.0,7.0,14.0,5,103.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,3244.0,0.41,4493.0,12.0,0.66,1.0,0.46,"$25,000-49,999",True,2583.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15000,542.29,1.0,0,0,0.0,256
D,36,0,0.347,0.339,0.329,0.31985,,,4.0,Unknown,6.0,1,GA,Retail Management,Full-time,29.0,False,False,Unknown,620.0,639.0,1984-02-21 00:00:00,8.0,8.0,14.0,7,106.0,3.0,12.0,0.0,0.0,13.0,0.0,0.0,3272.0,1.02,6.0,13.0,0.69,0.0,0.13,"$25,000-49,999",True,2572.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000,223.08,1.0,0,0,0.0,69
Unknown,36,1,0.24245999999999998,0.2049,0.1949,0.1904,0.089,0.1014,4.0,C,7.0,16,FL,Police Officer/Correction Officer,Employed,13.0,False,False,Unknown,640.0,659.0,2010-02-24 00:00:00,3.0,3.0,4.0,2,40.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,252.0,0.05,4548.0,3.0,1.0,1.0,0.08,"$25,000-49,999",True,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000,149.65,1.0,0,0,0.0,53
Unknown,36,1,0.33512,0.295,0.285,0.0284,0.24,0.0284,1.0,HR,3.0,6,CO,Clerical,Full-time,48.0,True,True,CD0E3364909037313F32874,620.0,639.0,1993-12-29 00:00:00,12.0,12.0,26.0,11,573.0,0.0,3.0,1.0,8773.0,0.0,2.0,0.0,15758.0,0.93,807.0,25.0,0.88,0.0,0.61,"$1-24,999",True,2000.0,2.0,56.0,56.0,0.0,0.0,8000.0,0.0,1500,63.27,1.0,0,0,0.0,72
AA,36,1,0.08182,0.075,0.075,0.05585,,,4.0,Unknown,6.0,5,IL,Executive,Full-time,21.0,False,False,Unknown,760.0,779.0,1996-07-01 00:00:00,11.0,11.0,27.0,8,72.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3205.0,0.04,72595.0,23.0,0.86,0.0,0.16,"$25,000-49,999",True,2625.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000,124.42,1.0,0,0,0.0,103
Unknown,36,1,0.2951,0.2599,0.2499,0.2437,0.112,0.1317,3.0,D,6.0,1,MN,Truck Driver,Employed,86.0,False,False,Unknown,680.0,699.0,1997-06-04 00:00:00,5.0,5.0,26.0,4,792.0,0.0,1.0,0.0,0.0,12.0,1.0,0.0,9012.0,0.54,2502.0,23.0,0.73,0.0,0.52,"$25,000-49,999",True,3833.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000,402.85,1.0,0,0,0.0,8
A,36,0,0.14923,0.135,0.125,0.11585000000000001,,,4.0,Unknown,6.0,2,FL,Other,Full-time,21.0,True,False,Unknown,720.0,739.0,1990-04-13 00:00:00,12.0,10.0,17.0,8,104.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,3743.0,0.21,10701.0,16.0,1.0,3.0,0.32,"$25,000-49,999",True,2916.666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24000,814.45,1.0,0,0,0.0,525
Unknown,36,1,0.2951,0.2599,0.2499,0.2437,0.108,0.1357,3.0,D,6.0,7,IN,Sales - Retail,Employed,436.0,True,False,Unknown,700.0,719.0,1994-10-26 00:00:00,5.0,5.0,31.0,3,123.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,4529.0,0.68,2071.0,23.0,0.82,2.0,0.38,"$1-24,999",True,1761.9166670000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000,161.14,1.0,0,0,0.0,40
Unknown,12,1,0.21313000000000001,0.1356,0.1256,0.1177,0.0649,0.0528,4.0,C,7.0,1,NY,Computer Programmer,Employed,46.0,False,False,Unknown,700.0,719.0,2004-07-02 00:00:00,13.0,13.0,22.0,10,655.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,34803.0,0.49,35997.0,22.0,1.0,1.0,0.41,"$100,000+",True,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15000,1343.7,1.0,0,0,0.0,283
Unknown,36,0,0.33286,0.2932,0.2832,0.2575,0.1425,0.115,2.0,E,2.0,1,TN,Professional,Employed,13.0,True,False,Unknown,600.0,619.0,1996-10-01 00:00:00,13.0,12.0,26.0,7,1212.0,3.0,10.0,1.0,209.0,0.0,0.0,0.0,46873.0,1.0,2.0,23.0,0.92,1.0,0.18,"$100,000+",True,10000.0,1.0,14.0,14.0,0.0,0.0,2000.0,1323.4,4000,168.32,1.0,0,0,0.0,1
Unknown,36,1,0.35796999999999995,0.3177,0.3077,0.2896,0.1625,0.1271,1.0,HR,6.0,1,KY,Other,Employed,35.0,False,False,Unknown,660.0,679.0,1993-12-20 00:00:00,9.0,9.0,20.0,6,423.0,0.0,2.0,2.0,9782.0,8.0,0.0,0.0,17127.0,0.94,518.0,14.0,0.92,0.0,0.35,"$25,000-49,999",True,3777.166667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3500,151.99,1.0,0,0,0.0,6
Unknown,36,0,0.33553,0.2958,0.2858,0.2727,0.147,0.1257,2.0,E,6.0,15,WA,Retail Management,Employed,167.0,False,False,Unknown,640.0,659.0,1994-07-06 00:00:00,5.0,5.0,24.0,5,85.0,2.0,2.0,0.0,0.0,17.0,1.0,0.0,4633.0,0.91,367.0,21.0,0.66,2.0,0.14,"$25,000-49,999",True,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000,168.89,1.0,0,0,0.0,31
A,36,0,0.12201,0.108,0.098,0.08885,,,4.0,Unknown,6.0,4,OR,Tradesman - Mechanic,Full-time,81.0,False,False,Unknown,720.0,739.0,1995-01-30 00:00:00,11.0,8.0,28.0,4,124.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,135774.0,0.49,139741.0,28.0,0.96,3.0,0.23,"$100,000+",True,10000.0,2.0,9.0,9.0,0.0,0.0,6000.0,0.0,3000,97.93,1.0,0,0,0.0,52
Unknown,36,1,0.18316,0.1469,0.1369,0.1346,0.042,0.0926,5.0,B,7.0,3,CA,Other,Employed,211.0,False,False,Unknown,660.0,679.0,1991-02-01 00:00:00,4.0,4.0,49.0,4,34.0,3.0,9.0,0.0,0.0,34.0,1.0,0.0,1293.0,0.49,1018.0,43.0,0.9,1.0,0.13,"$75,000-99,999",True,8000.0,1.0,6.0,6.0,0.0,0.0,4000.0,0.0,6000,207.08,1.0,0,0,0.0,142
Unknown,60,1,0.31293000000000004,0.2862,0.2762,0.2519,0.1275,0.1244,2.0,E,2.0,2,CT,Other,Self-employed,246.0,True,False,Unknown,700.0,719.0,1981-02-01 00:00:00,16.0,13.0,38.0,13,1454.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,47547.0,0.62,23896.0,34.0,0.94,0.0,0.025202959408118376,"$50,000-74,999",False,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000,126.04,1.0,0,0,0.0,1
A,36,1,0.08471000000000001,0.071,0.061,0.05184999999999999,,,4.0,Unknown,6.0,1,WI,Professional,Full-time,61.0,True,False,Unknown,740.0,759.0,1994-02-09 00:00:00,12.0,11.0,19.0,9,505.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,16401.0,0.31,36480.0,19.0,1.0,0.0,0.16,"$50,000-74,999",True,4916.666667,1.0,11.0,11.0,0.0,0.0,7000.0,3777.69,1700,52.57,1.0,0,0,0.0,68
AA,36,1,0.08383,0.077,0.077,0.05785,,,4.0,Unknown,6.0,3,IL,Professional,Full-time,36.0,False,False,Unknown,760.0,779.0,1980-11-01 00:00:00,5.0,5.0,10.0,4,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17500.0,8.0,0.75,0.0,0.1,"$50,000-74,999",True,4333.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000,310.71,1.0,0,0,0.0,171
Unknown,36,0,0.16055999999999998,0.139,0.129,0.1285,0.038,0.0905,6.0,A,8.0,1,MN,Other,Employed,32.0,True,False,Unknown,780.0,799.0,1991-10-14 00:00:00,15.0,13.0,33.0,11,502.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,7236.0,0.1,57602.0,31.0,0.93,1.0,0.36,"$25,000-49,999",True,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000,170.65,1.0,0,0,0.0,73
Unknown,36,1,0.29578000000000004,0.2724,0.2624,0.0672,0.18,0.0672,1.0,HR,5.0,7,AZ,Teacher,Full-time,17.0,False,False,Unknown,660.0,679.0,2006-07-27 00:00:00,13.0,12.0,17.0,9,280.0,6.0,18.0,0.0,0.0,0.0,0.0,0.0,10728.0,0.53,3160.0,17.0,1.0,1.0,0.45,"$25,000-49,999",True,2083.333333,1.0,29.0,29.0,0.0,0.0,3000.0,0.0,2000,81.91,1.0,0,0,0.0,118
D,36,0,0.21679,0.2094,0.1994,0.19025,,,4.0,Unknown,6.0,0,CA,Other,Full-time,22.0,False,False,Unknown,600.0,619.0,1986-04-18 00:00:00,7.0,7.0,18.0,3,107.0,4.0,13.0,0.0,0.0,19.0,1.0,0.0,3474.0,0.19,14523.0,12.0,0.58,0.0,0.24,"$50,000-74,999",True,5416.666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000,188.22,1.0,0,0,0.0,104
B,36,0,0.13705,0.13,0.12,0.11085,,,4.0,Unknown,6.0,0,MI,Sales - Retail,Full-time,115.0,True,False,Unknown,680.0,699.0,1999-08-04 00:00:00,20.0,20.0,32.0,14,345.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,9130.0,0.73,3157.0,31.0,0.9,0.0,0.46,"$25,000-49,999",True,3750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9000,303.25,1.0,0,0,0.0,370
Unknown,36,1,0.14328,0.1151,0.1051,0.1048,0.033,0.0718,6.0,A,9.0,3,HI,Construction,Employed,24.0,False,False,Unknown,760.0,779.0,2000-04-04 00:00:00,9.0,9.0,35.0,10,718.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,19328.0,0.47,21272.0,27.0,1.0,0.0,0.2,"$50,000-74,999",True,4166.666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000,65.96,1.0,0,0,0.0,34
D,36,0,0.29334,0.27,0.26,0.25085,,,4.0,Unknown,6.0,4,MA,Accountant/CPA,Full-time,11.0,False,False,Unknown,600.0,619.0,2003-10-02 00:00:00,3.0,3.0,4.0,2,53.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,1960.0,0.71,790.0,4.0,1.0,0.0,0.04,"$25,000-49,999",True,2666.666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500,61.24,1.0,0,0,0.0,31
Unknown,12,1,0.13706,0.0609,0.0509,0.0509,0.02,0.0309,6.0,A,10.0,7,GA,Computer Programmer,Employed,117.0,False,False,Unknown,740.0,759.0,1993-02-16 00:00:00,16.0,15.0,18.0,14,387.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,20487.0,0.16,98583.0,18.0,1.0,2.0,0.11,"$100,000+",True,8350.333333,2.0,4.0,4.0,0.0,0.0,6450.0,0.0,3490,300.52,1.0,0,0,0.0,55
Unknown,36,1,0.24821999999999997,0.2255,0.2155,0.1304,0.08,0.1304,4.0,C,8.0,1,NY,Other,Self-employed,18.0,False,False,Unknown,720.0,739.0,2002-08-19 00:00:00,5.0,3.0,16.0,3,131.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2772.0,0.39,4228.0,13.0,1.0,0.0,0.06836961350510884,"$25,000-49,999",False,2250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000,153.9,1.0,0,0,0.0,114
Unknown,36,1,0.35643,0.3199,0.3099,0.2917,0.195,0.0967,1.0,HR,5.0,1,CA,Professional,Employed,56.0,False,False,Unknown,640.0,659.0,2005-08-06 00:00:00,3.0,2.0,3.0,2,48.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,716.0,0.57,316.0,3.0,1.0,0.0,0.1,"$1-24,999",True,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000,87.1,1.0,0,0,0.0,30
Unknown,36,1,0.2951,0.2599,0.2499,0.2437,0.108,0.1357,3.0,D,7.0,2,MI,Truck Driver,Employed,2.0,True,False,Unknown,740.0,759.0,1994-11-29 00:00:00,14.0,13.0,29.0,9,198.0,2.0,11.0,0.0,0.0,0.0,1.0,0.0,2496.0,0.14,14996.0,29.0,0.93,1.0,0.22,"$25,000-49,999",True,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6379,256.98,0.7973,0,0,0.0,108
HR,36,0,0.37035999999999997,0.35,0.34,0.33085,,,4.0,Unknown,6.0,7,NC,Sales - Retail,Full-time,55.0,False,False,Unknown,540.0,559.0,2003-06-02 00:00:00,3.0,3.0,6.0,1,30.0,1.0,2.0,2.0,337.0,0.0,1.0,0.0,200.0,1.0,0.0,4.0,0.5,0.0,0.34,"$1-24,999",True,1799.0833329999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000,45.24,1.0,0,0,0.0,6
Unknown,36,1,0.31053000000000003,0.275,0.265,0.1504,0.108,0.1504,3.0,D,7.0,3,CA,Sales - Commission,Employed,160.0,True,False,Unknown,700.0,719.0,1995-11-01 00:00:00,24.0,18.0,57.0,16,655.0,4.0,26.0,0.0,0.0,0.0,0.0,0.0,18863.0,0.57,11256.0,54.0,1.0,0.0,0.05,"$100,000+",True,70833.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2500,102.73,1.0,0,0,0.0,66
Unknown,36,1,0.31308,0.2775,0.2675,0.1628,0.098,0.1628,3.0,D,6.0,1,GA,Other,Employed,26.0,True,False,Unknown,720.0,739.0,2000-05-10 00:00:00,11.0,9.0,27.0,4,315.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14555.0,0.8,3445.0,25.0,0.92,0.0,0.42,"$25,000-49,999",True,3750.0,1.0,26.0,26.0,0.0,0.0,7000.0,2238.05,7500,305.13,1.0,0,0,0.0,160
B,36,1,0.1683,0.1539,0.1439,0.13475,,,4.0,Unknown,6.0,1,WA,Other,Full-time,23.0,True,True,719A33684089335520A3C4F,680.0,699.0,2000-09-08 00:00:00,11.0,9.0,17.0,6,415.0,2.0,15.0,0.0,0.0,0.0,0.0,0.0,64781.0,0.9,6769.0,17.0,0.82,1.0,0.15,"$75,000-99,999",True,7772.166667,1.0,11.0,11.0,0.0,0.0,8000.0,5903.89,10000,348.57,1.0,0,0,0.0,138
Unknown,36,1,0.28974,0.2511,0.2411,0.2352,0.112,0.1232,3.0,D,6.0,1,IL,Computer Programmer,Employed,9.0,False,False,Unknown,640.0,659.0,1999-02-23 00:00:00,7.0,6.0,21.0,4,87.0,5.0,9.0,2.0,2084.0,22.0,0.0,0.0,2949.0,0.13,19151.0,14.0,0.78,1.0,0.08,"$50,000-74,999",True,4166.666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3500,139.36,1.0,0,0,0.0,12
A,36,1,0.18877,0.1742,0.1642,0.15505,,,4.0,Unknown,6.0,1,FL,Sales - Commission,Full-time,30.0,True,False,Unknown,740.0,759.0,1991-02-08 00:00:00,9.0,9.0,14.0,7,564.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,21545.0,0.65,11290.0,12.0,1.0,0.0,0.36,"$50,000-74,999",True,4833.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17000,602.33,1.0,0,0,0.0,567
Unknown,36,0,0.24821999999999997,0.2255,0.2155,0.1304,0.08,0.1304,4.0,C,8.0,1,MD,Professional,Full-time,54.0,True,False,Unknown,700.0,719.0,1974-10-01 00:00:00,11.0,6.0,56.0,5,970.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,8411.0,0.98,202.0,54.0,0.94,0.0,0.15,"$100,000+",True,10416.666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000,115.43,1.0,0,0,0.0,93
Unknown,60,1,0.17060999999999998,0.1474,0.1374,0.131,0.0449,0.0861,5.0,B,10.0,20,IL,Computer Programmer,Employed,85.0,True,False,Unknown,680.0,699.0,1998-08-06 00:00:00,10.0,10.0,30.0,5,558.0,1.0,8.0,1.0,45979.0,2.0,0.0,0.0,28013.0,0.74,9387.0,24.0,0.95,0.0,0.2,"$100,000+",True,9833.333333,3.0,89.0,89.0,0.0,0.0,18000.0,0.01,25000,591.34,1.0,0,0,0.0,1
Unknown,36,1,0.11448,0.0935,0.0835,0.0623,0.021,0.0623,6.0,A,9.0,1,CA,Scientist,Full-time,31.0,True,False,Unknown,740.0,759.0,1976-08-12 00:00:00,11.0,11.0,17.0,7,662.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,30374.0,0.45,35745.0,17.0,1.0,0.0,0.19,"$75,000-99,999",True,6916.666667,1.0,30.0,30.0,0.0,0.0,6000.0,1123.72,9000,287.67,1.0,0,0,0.0,294
C,36,1,0.14659,0.1395,0.1295,0.12035000000000001,,,4.0,Unknown,6.0,0,NE,Accountant/CPA,Full-time,18.0,True,True,D9F4337221229974777DD03,640.0,659.0,1998-11-01 00:00:00,12.0,8.0,28.0,8,667.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,39287.0,0.97,901.0,26.0,0.78,0.0,0.29,"$25,000-49,999",True,3969.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9000,307.38,1.0,0,0,0.0,170
Unknown,36,1,0.35796999999999995,0.3177,0.3077,0.2896,0.1625,0.1271,1.0,HR,6.0,1,RI,Other,Other,19.0,True,False,Unknown,640.0,659.0,1996-08-30 00:00:00,8.0,7.0,34.0,5,135.0,2.0,7.0,1.0,1259.0,8.0,0.0,0.0,2632.0,0.44,1867.0,30.0,0.9,1.0,0.22,"$25,000-49,999",True,3750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000,86.85,1.0,0,0,0.0,19
Unknown,36,1,0.08325,0.0699,0.0599,0.059,0.0124,0.0466,7.0,AA,10.0,2,GA,Engineer - Mechanical,Employed,44.0,True,False,Unknown,780.0,799.0,1997-07-04 00:00:00,8.0,5.0,26.0,6,350.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,11997.0,0.34,23003.0,24.0,1.0,0.0,0.09,"$100,000+",True,9166.666667,1.0,18.0,18.0,0.0,0.0,6500.0,0.66,4000,123.49,1.0,0,0,0.0,84
Unknown,36,1,0.22361999999999999,0.1899,0.1799,0.1757,0.061,0.1147,4.0,C,6.0,7,GA,Other,Full-time,52.0,True,False,Unknown,720.0,739.0,2003-04-28 00:00:00,7.0,6.0,24.0,5,397.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,17961.0,0.58,12989.0,10.0,1.0,0.0,0.08546302465023319,"$1-24,999",False,1500.0,1.0,19.0,18.0,1.0,0.0,2200.0,0.01,3500,128.28,1.0,0,0,0.0,62
A,36,1,0.18958,0.175,0.165,0.15585,,,4.0,Unknown,6.0,3,LA,Accountant/CPA,Full-time,10.0,True,False,Unknown,740.0,759.0,1996-11-27 00:00:00,15.0,15.0,34.0,7,160.0,2.0,9.0,0.0,0.0,1.0,0.0,0.0,11897.0,0.25,24599.0,31.0,0.87,3.0,0.22,"$75,000-99,999",True,6833.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8000,287.22,1.0,0,0,0.0,151
